Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating,Synopsys
6,3,101,"Believe It or Not, Joe's Walking on Air",Julius Wu,John Banh,Andrew Goldberg,"Mark Covell, Spencer Laudiero",Jamie Farr,"Peter Griffin, Joe Swanson","Lois, Stewie, Brian, Chris, Quagmire, Cleveland, Bonnie Swanson, Muriel Goldman, Mayor Adam West, Buzz Killington, Adolf Hitler, Spider-Man, Colin Farrell, Jack Black, Jamie Farr, Jackée Harry, Bernice, Herbert, Seamus, Dr. Hartman, Mayor McCheese, Carter Pewterschmidt, Fred Flintstone, Barney Rubble, Consuela, Dr. Terry Fabulous, Parker, Quentin, Portland, Chris Burke, Judas Iscariot, Pontius Pilate",Good Morning,"October 7, 2007",5ACX15,8.39,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"Tired of being handicapped, Joe decides to get a leg transplant so he can walk again. After the successful operation and excited about his new ability to walk, Joe dives head first into extreme sports, where he soon outgrows his friends and ditches them to hang out with jocks. Peter and his pals are upset by this, and become shocked when Joe's new lifestyle eventually leads him to leave Bonnie. Peter suggests to Cleveland and Quagmire that in order to get their friend back they must paralyze him once again."
6,4,102,Stewie Kills Lois (Part 1),John Holmquist,Rick Del Carmen,David A. Goodman,"Won Ki Cho, Eric Fredrickson",None,"Stewie Griffin, Lois Griffin","Peter, Brian, Meg, Chris, Tom Tucker, Joe Swanson, Bonnie Swanson, Cleveland Brown, Glenn Quagmire, Barbra Streisand, James Brolin, Herbert, Obie, God, Bruce, Mort Goldman, Carter Pewterschmidt, Kool-Aid Man, Judge, Rupert, Keanu Reeves, Sandra Bullock, Harrison Ford, Lionel Richie, The Beatles",Water,"November 4, 2007",5ACX17,10.5,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.3,"Lois and Peter go on a cruise, leaving Stewie and the family behind. Upset with Lois for leaving him at home, Stewie vows to carry out a diabolical plan. When Brian challenges him to actually do it, Stewie stows away on the ship, finds Lois and shoots her, seemingly killing her and resulting in Peter being blamed for her murder."
6,5,103,Lois Kills Stewie (Part 2),Greg Colton,Young Baek,Steve Callaghan,"Bao Nguyen, Michael Rundle","Simon Cowell, Paula Abdul, Randy Jackson, Patrick Stewart","Stewie Griffin, Lois Griffin, Brian","Peter, Meg, Chris, Joe, Quagmire, Cleveland, Bruce, Obie, Tom Tucker, Ollie Williams, Diane Simmons, Tricia Takanawa, Derek, Consuela, Judge, Rupert, Mayor Adam West, Jeffrey, Paul, Tracy, Timmy, Mikey, Jafar, Clippy, Stan Smith, Avery Bullock, Saint Peter, Magic Johnson, Rob Schneider, Randy Jackson, Simon Cowell, Paula Abdul, James Doohan, Willem Dafoe, Britney Spears, Bill O'Reilly, Bill Frist, Shakira, Tom Cruise, Katie Holmes, Hilary Swank","Lost in Your Eyes, Swank Milk jingle, I've Got a Little List (DVD Exclusive)","November 11, 2007",5ACX18,10.42,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.3,"Just as Lois was presumed dead by Peter's hand, with Peter about to be jailed for life, she makes a miraculous return from the wilderness and names Stewie as her killer. From there, Stewie escapes the law, where he ties up the family and reveals his true nature. He forces Brian into helping him fulfill his lifelong goal of taking over the world, and succeeds when Stan Smith and the CIA submit to his threats. After suffering several days under Stewie's reign, Lois decides she has no choice but to arm herself to kill Stewie and save the world."
6,6,104,Padre de Familia,Pete Michels,Perry Zombolas,Kirker Butler,"Kurt Dumas, Steve Fonti",None,Peter Griffin,"Lois, Meg, Chris, Stewie, Brian, Quagmire, Cleveland, Joe, Tom Tucker, Diane Simmons, Herbert, Santos & Pasquel, Michael McDonald, Angela, Fouad, Thelma Griffin, Carter Pewterschmidt, Barbara Pewterschmidt, Gerardo, Peter the Pig, Big Bad Wolf, Oliver Stone, Manuel Noriega, Obie, Superman, Lois Lane, Rapid Dave, Dick Clark, Patrick Swayze, Michael and Jane Banks, Paul Shaffer, Sylvester the Cat, Jerry Orbach, Jennifer Grey","God Bless the USA, What America Means To Me, Cartoon Pals","November 18, 2007",5ACX20,10.53,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.9,"Peter starts an anti-immigration group after being caught up in the pro-American sentiment at a Veterans' Day parade, but his tune quickly changes when he finds out he was born in Mexico. Unable to prove his citizenship, pass the naturalization test or convince investigators that his marriage to Lois is for real, he ends up working as a groundskeeper on his father-in-law's estate and leading the fight for immigrant rights."
6,7,105,Peter's Daughter,Zac Moncrief,Jeff Stewart,Chris Sheridan,"Won Ki Cho, Spencer Laudiero, Phil Langone",Damien Fahey,"Peter Griffin, Meg Griffin, Stewie Griffin, Brian, Michael Milano","Lois, Chris, Cleveland, Quagmire, Joe, Neil Goldman, Tricia Takanawa, Diane Simmons, Tom Tucker, Dr. Hartman, Connie DiMico, Esther, Patty, Ruth, Gina, Mr. Stoneberg, Xenomorph, Fred Flintstone, Wilma Flintstone, Satan, Beth, Conway Twitty, Bob Saget, Dean Cain, Andy Garcia, Rick, Abraham and Isaac, Sigourney Weaver, Jodie Foster",None,"November 25, 2007",5ACX21,9.6,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"When a flood hits Quahog, Meg winds up in the hospital in a coma, but she wakes up to a cute med student named Michael and they immediately hit it off. After Meg recovers, Peter is very protective of her, so he drives Michael away. But when Meg reveals to the family that she is pregnant, Peter forces them to get married. Meanwhile, Stewie proposes to Brian that they invest on renovating a house that was wrecked during the floods, then sell it off for huge profits."
6,8,106,McStroke,Brian Iles,Dominic Bianchi,Wellesley Wild,"Spencer Laudiero, Mark Covell",Ricardo Montalban,Peter Griffin,"Lois, Meg, Chris, Stewie, Brian, Mr. Monopoly, Connie DiMico, Gina, Will Smith, Bruce, Todd Meyers, Helen Hunt, Dr. Hartman, Wimpy, Meowsy McDermott, Robin Williams, Mr. Cow, Tom Tucker, Diane Simmons, Judge, Rupert, Meaty the Quick-to-Anger Clown","It's The End Of The World As We Know It (And I Feel Fine), Will Smith Nice Clean Rap","January 13, 2008",5ACX19,11.5,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"Peter decides to grow a mustache, but then he's mistaken for a fireman (because they all have mustaches), so he lends a hand when a fire breaks out at a local fast food restaurant. The owner gives him unlimited burgers as a ""thank you"" but he eats so many that he eventually has a stroke. When Peter recovers, he vows to expose the fast-food company and becomes friends with a genetically engineered cow he meets after infiltrating the McBurgertown warehouse."
6,9,107,Back to the Woods,Brian Iles,"Dominic Bianchi, Kenji Ono",Tom Devanney,"Mark Covell, Joseph Lee","James Woods, Barry Manilow, Dave Van Dam","Peter Griffin, James Woods","Lois, Meg, Chris, Stewie, Brian, Quagmire, Cleveland, Joe, Tom Tucker, Diane Simmons, Spider-Man, Vern and Johnny, David Letterman, Foghorn Leghorn, Michael Richards, G.I. José, Colonel Sanders, Dr. Lee Feldstein, The Handlemans, James Brady, Rob, Barry Manilow","Quagmire, Ready to Take a Chance Again, Where Did Robinson Crusoe Go with Friday on Saturday Night?","February 17, 2008",6ACX02,7.23,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"James Woods returns after being locked in a crate to seek revenge against Peter by stealing his identity and by law takes over as head of the Griffin household and forces Peter off his own property. To reunite with his family and save them from James' abuse and manipulation, Peter decides to steal his identity and pose as him, where he offends the country to obliterate his career and image."
6,10,108,"Play It Again, Brian",John Holmquist,Rick Del Carmen,Danny Smith,"Won Ki Cho, Michael Rundle",None,"Peter Griffin, Lois Griffin, Brian","Meg, Chris, Stewie, Quagmire, Cleveland, Herbert, Nathan Lane, Jaws, Evil Monkey, Haskell, The Osmonds, Gregory Peck, Audrey Hepburn, Black Box","Everybody Everybody, As Time Goes By, Spirit of Massachusetts, All I Really Need is the Boy, Uncensored version: Jaws theme","March 2, 2008",6ACX01,7.8,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Peter and Lois's marriage is on the rocks, but when Brian wins the New England Rising Writer’s award, the three of them head to Martha's Vineyard for a relaxing vacation. As Peter's drinking spirals out of control, so does Brian's self restraint as he professes his undying love for Lois, putting Peter and Brian in a serious feud that will test their friendship and determine the fate of the Griffins."
6,11,109,The Former Life of Brian,Pete Michels,Bao Nguyen,Steve Callaghan,"Steve Fonti, Raul Guerra","Harvey Fierstein, Chace Crawford","Brian, Dylan Flannigan, Stewie Griffin","Meg, Peter, Lois, Chris, Tracy Flannigan, Quagmire, Cleveland, Joe, Herbert, Evil Monkey, Sonny, Al Harrington, Tom Tucker, Tomik and Bellgarde, Paul, The Pink Panther, Matthew McConaughey, Dorothy Gale, The Tin Man, The Scarecrow, The Cowardly Lion",None,"April 27, 2008",6ACX04,8.49,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8,"When Brian is afraid that he has lost his chance at love, he goes in search of a former flame Tracy only to discover he is the father of her unruly son, Dylan. After Brian’s surprise visit, Tracy drops Dylan off at the Griffin's so Brian can raise him. Subsequently, his new little angel begins terrorizing the Griffin household and Brian's self-important attitude toward parenting infuriates Peter and Lois."
6,12,110,Long John Peter,Dominic Polcino,Joseph Lee,Wellesley Wild,"Mark Covell, Phil Langone",Amanda Bynes,"Peter Griffin, Chris Griffin, Anna","Lois, Meg, Stewie, Brian, Mayor Adam West, Quagmire, Cleveland, Joe, Bonnie Swanson, Dr. Jewish, Mort Goldman, Adrien Beaky, Shelley Boothbishop, Betty, Barbara, Tom Hanks, E.T., O.J. Simpson","Crazy for You, Down Under, Wait for the Beep","May 4, 2008",6ACX06,7.68,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"It's a pirate's life for Peter when he gets a pet parrot. But after raising hell in Quahog and terrorizing the neighbors, Peter accidentally kills his beloved pet. Meanwhile, Chris takes Brian to the local vet, where an intern named Ana falls for him."
7,1,111,"Love, Blactually",Cyndi Tang,Greg Lovell,Mike Henry,"Phil Langone, Mark Garcia",Kat Foster,"Brian, Stewie Griffin, Carolyn, Cleveland Brown","Peter, Lois, Quagmire, Joe, Fjurg Van Der Ploeg, Horton, Woodstock, Roxane, Jane, Christian, Cyrano de Bergerac, Loretta Brown",The Things We Did Last Summer,"September 28, 2008",6ACX03,9.2,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8,"Brian begins dating a woman named Carolyn, but decides not to have sex with her because (as Stewie points out) none of his relationships have worked because he has sex immediately after they meet. After three weeks, Brian finds out that Carolyn is dating Cleveland because she thinks Brian only wants friendship. This leads Brian to convince Cleveland's ex-wife Loretta to reconcile with him so Brian can date Carolyn. Loretta invites Cleveland to a hotel to reconcile with him; however, Cleveland explains that he forgives her for cheating on him but he must move on with his life. Cleveland then visits Carolyn, whom he discovers is cheating on him with Quagmire. He goes to see Brian, and they make amends, as Cleveland notes that he is feeling a burning sensation when he urinates."
7,2,112,I Dream of Jesus,Mike Kim,Shawn Palmer,Brian Scully,"Won Ki Cho, Michael Rundle","Perez Hilton, Ike Barinholtz","Peter Griffin, Jesus Christ","Lois, Brian, Chris, Meg, Stewie, Cleveland, George W. Bush, Marlee Matlin, Jay Leno, Tom Tucker, God, Mayor Adam West, Paris Hilton, Perez Hilton, Dane Cook, Star Jones, Dave Coulier, Effeminate cow, Nicole Richie, The Pussycat Dolls","Surfin' Bird, uncensored version: Me and Jesus","October 5, 2008",6ACX05,8.42,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8,"Peter buys a record of his favorite song (""Surfin' Bird"" by The Trashmen) and listens to it incessantly, annoying his family. Eventually, Stewie and Brian steal (and destroy) the record. Distraught, Peter goes to the record store for another copy and discovers that the clerk is Jesus Christ; Jesus explains that he returns every 100 years or so to check on the world. Peter befriends Jesus, and convinces him to reveal himself. Jesus then becomes a celebrity, neglecting his friendship with Peter; he is then found drunk in an apartment and arrested. Peter pays his bail; Jesus realizes he still has some maturing to do and decides to return to his home. Before he leaves, Jesus gives Peter a present: another record of ""Surfin' Bird""."
7,3,113,Road to Germany,Greg Colton,Young Baek,Patrick Meighan,"Kurt Dumas, Raul Guerra","Gregory Jbara, Brian Blessed","Brian, Stewie Griffin, Mort Goldman","Lois, Peter, Meg, Chris, Quagmire, Cleveland, Joe, Bonnie Swanson, Muriel Goldman, Chaim and Sarah Goldman, Jensen, Prince Vultan, Adolf Hitler, Steve Buscemi, Scarlett Johansson, Rick Moranis, Joe Greene, John Candy, Winston Churchill, Nancy Astor",Mort the Jew,"October 19, 2008",6ACX08,9.07,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.1,"During a party at the Griffin house Mort Goldman accidentally steps into Stewie's time machine (mistaking it for a bathroom), forcing Brian and Stewie to take a return pad and go after him. They find Mort in a Warsaw, Poland synagogue, thinking he is in heaven since he sees dead family members there. They soon realize the date is September 1, 1939, the day of the Nazi invasion of Poland and the beginning of World War II. The return pad breaks and they decide to go to England, where it will be safe to repair it. In England, Stewie realizes that the return pad is out of uranium fuel and Brian suggests they find some in a nuclear-testing facility in Berlin. At the facility Stewie disguises himself as Hitler; the other two disguise themselves as Nazi officers, and obtain the needed uranium. They then encounter the real Hitler (who orders their execution), but they escape on the return pad back to their own time and arrives back in Stewie's room 30 seconds before Mort entered the time machine. To keep these events from repeating, Stewie kills the version of Mort who traveled with them."
